IDENT_NUMVEH,IDENT_MEN,NUM_VEH,pond_veh,cylindree_fin,critair,ANNEE_1mec,age,KVKM1ANV,KVCONS,energie_groupe,Pro_Perso,NEWTYPMEN,AGEPR,decile_rev,CSMEN,REG_res,STATUTCOM_UU_RES,pop_10min_voiture_train_res,DIPDETPR,NENFHORS
110000093500001,1100000935000,1,1688.66119,1.6,2,2015,40.0,17053.866777,5.0,VT,Perso,Couple avec au moins un enfant,35,9,37.0,Ile-de-France,B,100,15.0,0
110000095400001,1100000954000,1,2878.6824487,1.4,3,2006,149.0,9200.7427242,4.5,VT,Perso,Personne seule,49,3,48.0,Ile-de-France,B,100,52.0,2
110000095500002,1100000955000,2,1578.2192329,1.5,2,2015,48.0,11334.996721,4.0,VT,Perso,Famille monoparentale,40,9,37.0,Ile-de-France,B,100,31.0,0
110000095500001,1100000955000,1,1578.2192329,1.2,2,2008,128.0,19417.574722,6.0,VT,Perso,Famille monoparentale,40,9,37.0,Ile-de-France,B,100,31.0,0
110000095500003,1100000955000,3,1578.2192329,,N,1994,299.0,5627.0821742,4.0,VT,Perso,Famille monoparentale,40,9,37.0,Ile-de-France,B,100,31.0,0
110000101500001,1100001015000,1,1488.5930656,2.0,2,2009,105.0,6782.1498599,7.0,VT,Perso,Couple avec au moins un enfant,59,10,47.0,Ile-de-France,B,100,16.0,1
110000101500004,1100001015000,4,1488.5930656,0.0,3,2016,27.0,3000.0,5.0,Autres,Perso,Couple avec au moins un enfant,59,10,47.0,Ile-de-France,B,100,16.0,1
110000101500002,1100001015000,2,1488.5930656,1.0,1,2017,11.0,11007.145983,5.0,VT,Perso,Couple avec au moins un enfant,59,10,47.0,Ile-de-France,B,100,16.0,1
110000101500003,1100001015000,3,1488.5930656,2.0,2,2010,98.0,8737.0347852,5.0,VT,Perso,Couple avec au moins un enfant,59,10,47.0,Ile-de-France,B,100,16.0,1
110000101800002,1100001018000,2,1791.1508843,,N,1996,264.0,958.77990431,5.0,VT,Perso,Couple avec au moins un enfant,38,6,46.0,Ile-de-France,B,100,36.0,0
110000101800001,1100001018000,1,1791.1508843,1.9,3,2007,129.0,11881.41319,7.0,VT,Perso,Couple avec au moins un enfant,38,6,46.0,Ile-de-France,B,100,36.0,0
110000102300001,1100001023000,1,2639.8865511,1.5,4,2005,157.0,9019.7318841,7.0,VT,Perso,Personne seule,29,6,38.0,Ile-de-France,B,100,15.0,0
110000102500001,1100001025000,1,749.09445185,1.6,2,2015,41.0,6291.3042005,5.5,VT,Perso,Couple sans enfant,83,8,38.0,Ile-de-France,B,100,24.0,2
110000102500002,1100001025000,2,749.09445185,2.2,4,2004,169.0,2181.5971223,5.4,VT,Perso,Couple sans enfant,83,8,38.0,Ile-de-France,B,100,24.0,2
110000103500001,1100001035000,1,1202.6424467,1.6,3,2009,111.0,2583.1910569,7.0,VT,Perso,Couple sans enfant,88,10,37.0,Ile-de-France,B,100,13.0,5
110000103500002,1100001035000,2,1202.6424467,2.0,5,2000,218.0,2500.0,8.0,VT,Perso,Couple sans enfant,88,10,37.0,Ile-de-France,B,100,13.0,5
110000104600001,1100001046000,1,1990.3762416,1.4,2,2006,154.0,5249.3818681,10.0,VT,Perso,Couple sans enfant,60,8,33.0,Ile-de-France,C,100,21.0,2
110000104600002,1100001046000,2,1990.3762416,1.6,2,2014,58.0,7631.3617607,5.0,VT,Perso,Couple sans enfant,60,8,33.0,Ile-de-France,C,100,21.0,2
110000105500002,1100001055000,2,1836.4161393,2.5,4,2002,202.0,9367.3179232,10.0,VT,Perso,Couple avec au moins un enfant,36,9,46.0,Ile-de-France,B,100,21.0,0
110000105500001,1100001055000,1,1836.4161393,1.6,3,2008,133.0,10151.25545,6.0,VT,Perso,Couple avec au moins un enfant,36,9,46.0,Ile-de-France,B,100,21.0,0
110000106800002,1100001068000,2,1531.6620187,1.9,4,2005,171.0,19033.921792,7.0,VT,Perso,Couple avec au moins un enfant,52,5,37.0,Ile-de-France,B,100,35.0,0
110000106800001,1100001068000,1,1531.6620187,2.0,3,2010,106.0,20688.079846,8.0,VT,Perso,Couple avec au moins un enfant,52,5,37.0,Ile-de-France,B,100,35.0,0
110000112800001,1100001128000,1,1886.823253,1.4,2,2015,42.0,13373.540246,6.0,VT,Perso,Couple sans enfant,39,9,64.0,Ile-de-France,B,100,44.0,0
110000113400001,1100001134000,1,1813.6966183,2.0,4,2001,204.0,14272.397541,7.0,VT,Perso,Famille monoparentale,40,3,55.0,Ile-de-France,B,100,44.0,0
110000115400001,1100001154000,1,1862.6621106,1.2,1,2019,1.0,10671.969564,6.6,VT,Perso,Couple sans enfant,50,10,38.0,Ile-de-France,B,100,52.0,3
110000115400002,1100001154000,2,1862.6621106,3.2,3,2004,179.0,2113.0347681,11.0,VT,Perso,Couple sans enfant,50,10,38.0,Ile-de-France,B,100,52.0,3
110000115500001,1100001155000,1,1404.4852253,1.5,4,2003,183.0,5771.2465374,5.5,VT,Perso,Couple sans enfant,62,9,48.0,Ile-de-France,B,100,52.0,2
110000115500002,1100001155000,2,1404.4852253,1.5,2,2011,91.0,12223.849538,6.4,VT,Perso,Couple sans enfant,62,9,48.0,Ile-de-France,B,100,52.0,2
110000116400001,1100001164000,1,2671.187128,0.9,1,2016,36.0,15345.510624,8.0,VT,Perso,Couple sans enfant,72,10,37.0,Ile-de-France,B,100,22.0,4
110000116400002,1100001164000,2,2671.187128,,N,1971,577.0,507.34123151,7.0,VT,Perso,Couple sans enfant,72,10,37.0,Ile-de-France,B,100,22.0,4
110000121500002,1100001215000,2,1559.4787779,1.4,1,2011,77.0,11278.628268,6.0,VT,Perso,Couple sans enfant,71,10,37.0,Ile-de-France,B,100,22.0,2
110000121500001,1100001215000,1,1559.4787779,1.2,1,2014,49.0,4289.1804047,5.0,VT,Perso,Couple sans enfant,71,10,37.0,Ile-de-France,B,100,22.0,2
110000122400002,1100001224000,2,3926.9504082,1.4,2,2003,182.0,17012.034993,7.0,Autres,Perso,Couple sans enfant,64,10,38.0,Ile-de-France,B,100,14.0,1
110000122400001,1100001224000,1,3926.9504082,1.6,1,2011,82.0,6858.1053352,6.8,VT,Perso,Couple sans enfant,64,10,38.0,Ile-de-France,B,100,14.0,1
110000122500001,1100001225000,1,1357.4280295,1.6,2,2014,53.0,9161.8479121,5.5,VT,Perso,Couple sans enfant,69,10,34.0,Ile-de-France,B,100,13.0,2
110000122500002,1100001225000,2,1357.4280295,,,.,,2037.5034913,6.0,Autres,Perso,Couple sans enfant,69,10,34.0,Ile-de-France,B,100,13.0,2
110000122600001,1100001226000,1,2013.5138633,1.4,3,2006,149.0,200.0,5.0,VT,Perso,Menage complexe,35,8,56.0,Ile-de-France,C,100,32.0,0
110000123400001,1100001234000,1,1531.8571331,1.6,2,2018,3.0,9449.692647,6.0,VT,Perso,Couple sans enfant,65,9,68.0,Ile-de-France,B,100,71.0,1
110000123500001,1100001235000,1,1113.5333124,2.8,3,1999,234.0,1589.1541537,10.0,VT,Perso,Couple sans enfant,52,10,37.0,Ile-de-France,B,100,13.0,5
110000123500002,1100001235000,2,1113.5333124,2.0,3,2005,158.0,7090.4258242,6.0,VT,Perso,Couple sans enfant,52,10,37.0,Ile-de-France,B,100,13.0,5
110000124300001,1100001243000,1,4756.1640544,1.5,4,2005,157.0,6763.8432732,5.0,VT,Perso,Personne seule,30,9,38.0,Ile-de-France,B,100,14.0,0
110000124400001,1100001244000,1,1341.9737661,1.4,3,2005,161.0,4043.6176066,8.0,VT,Perso,Couple sans enfant,83,9,33.0,Ile-de-France,B,100,14.0,2
110000124600001,1100001246000,1,2338.7440431,1.5,4,2003,179.0,6303.5398,6.5,VT,Perso,Personne seule,70,7,38.0,Ile-de-France,C,100,14.0,3
110000125500002,1100001255000,2,1462.5024645,1.1,1,2010,98.0,5279.5276567,6.0,VT,Perso,Couple sans enfant,68,8,48.0,Ile-de-France,B,100,32.0,2
110000125500001,1100001255000,1,1462.5024645,1.2,1,2013,63.0,2666.6422548,7.5,VT,Perso,Couple sans enfant,68,8,48.0,Ile-de-France,B,100,32.0,2
110000131400001,1100001314000,1,3044.2948139,1.5,3,2007,131.0,8487.5,7.0,VT,Perso,Personne seule,27,4,47.0,Ile-de-France,B,100,44.0,0
